DESCRICAO
10.MP04.040.00003 - ROLETE P/ PISTA TRANSP. PALLETS - S/ MOT - GALV. #1,55 - D63,5MM - 1070MM - BZ
10.MP04.030.00003 - PORCA SEXTAVADA - ZINCADA -  M16
10.MP04.030.00010 - PORCA SEXTAVADA - FLANGEADA - ZINCADA - SERRILHADA - M6
10.MP04.030.00009 - PORCA SEXTAVADA ZINCADA - M6
10.MP04.078.00001 - PORCA SEXTAVADA - FLANGEADA - INOX - SERRILHADA - M8
10.MP04.030.00001 - PORCA SEXTAVADA - FLANGEADA - ZINCADA - SERRILHADA - M8
10.MP04.030.00004 - PORCA SEXTAVADA ZINCADA - M8
10.MP04.078.00002 - PORCA SEXTAVADA - INOX -  M8
10.MP04.144.00002 - ARRUELA LISA ZINC 1/2"
10.MP04.031.00002 - CHUMBADOR - PBA - ZINCADO -  3/8"X3 1/2"
10.MP04.029.00002 - PORCA SEXTAVADA - ZINCADA - 1/2"
10.MP04.030.00008 - PORCA SEXTAVADA - FLANGEADA - SERRILHADA - ZINCADA - 1/4"
10.MP04.028.00048 - PARAFUSO SEXTAVADO - FLANGEADO - ENEGRECIDO - M8X30 - CLASSE 10.9
10.MP04.028.00049 - PARAFUSO SEXTAVADO - FLANGEADO - ENEGRECIDO - M8X35 - CLASSE 10.9
10.MP04.028.00019 - PARAFUSO SEXTAVADO - FLANGEADO - ENEGRECIDO - M8X50 - CLASSE 10.9
10.MP04.144.00003 - ARRUELA 3/8" LISA INOX 18.8
10.MP04.030.00005 - PARAFUSO FRANCES S/ PORCA 3/8" X 1.1/4" INOX 18.8
10.MP04.029.00003 - PORCA SEXTAVADA 3/8 INOX 304P
99.EPEC.142.01306 - BUCHA 11/16" X 40MM
10.MP04.030.00014 - PORCA SEXTAVADA - FLANGEADA - ZINCADA - SERRILHADA - 5/16
10.MP04.153.00002 - PINO DE SEGURANÇA PARA LONGARINA - BITOLA 6MM x 70MM
10.MP04.030.00002 - PORCA SEXTAVADA - FLANGEADA - ZINCADA - SERRILHADA - M10
10.MP04.030.00006 - PORCA SEXTAVADA - ZINCADA - M10
10.MP04.030.00013 - PORCA SEXTAVADA - FLANGEADA - ZINCADA - SERRILHADA - M12
10.MP04.030.00007 - PORCA SEXTAVADA - FLANGEADA - ZINCADA - M14
10.MP04.029.00006 - PORCA SEXTAVADA PARLOCK 1/2 UNC 
10.MP04.028.00017 - BUCHA DIST 1/2" x 62MM ZINC
